MAV,RMS,VAR,WL,ZC,SSC,WAMP,IEMG,label,start_time,end_time
16.5,18.172781845386247,330.25,47.0,1,0,3,66.0,REST,1763806869.248705,1763806869.851051
6.5,7.44983221287567,55.5,35.0,2,1,3,26.0,REST,1763806869.655031,1763806870.24873
10.25,10.940178243520533,119.6875,28.0,1,0,3,41.0,REST,1763806870.049099,1763806870.659223
13.25,15.787653403846944,249.25,58.0,1,2,3,53.0,REST,1763806870.448736,1763806871.055034
15.25,15.848895860595462,251.1875,71.0,2,1,3,61.0,REST,1763806870.848725,1763806871.449254
8.25,9.630680142129112,92.75,28.0,1,2,3,33.0,REST,1763806871.248749,1763806871.848769
8.0,9.354143466934854,87.5,49.0,2,2,3,32.0,REST,1763806871.648769,1763806872.249113
11.0,14.352700094407323,206.0,76.0,1,2,3,44.0,REST,1763806872.056121,1763806872.648767
7.5,9.937303457175895,98.75,28.0,1,0,3,30.0,REST,1763806872.448776,1763806873.053706
4.75,5.2141634036535525,27.1875,20.0,2,1,3,19.0,REST,1763806872.848791,1763806873.448798
3.0,3.9370039370059056,15.5,16.0,1,1,3,12.0,REST,1763806873.248804,1763806873.848811
5.875,7.1545440106270926,51.1875,24.0,1,1,3,23.5,REST,1763806873.648805,1763806874.248806
7.25,7.562241731127087,57.1875,46.0,3,2,3,29.0,UP,1763806874.053694,1763806874.650533
6.25,7.084313657652377,50.1875,31.0,3,2,3,25.0,UP,1763806874.449966,1763806875.048823
4.5,5.1478150704935,26.5,23.0,2,1,3,18.0,UP,1763806874.848831,1763806875.448843
6.25,6.49519052838329,42.1875,16.0,1,0,3,25.0,UP,1763806875.249005,1763806875.851377
3.5,4.415880433163924,19.5,12.0,0,0,3,14.0,UP,1763806875.648851,1763806876.248884
6.0,6.670832032063167,44.5,26.0,2,1,3,24.0,UP,1763806876.049228,1763806876.64891
231.75,231.82792648859197,53744.1875,489.0,1,1,2,927.0,UP,1763806876.44886,1763806877.057585
25.5,29.444863728670914,867.0,68.0,1,0,1,102.0,UP,1763806876.849204,1763806877.448969
226.25,227.72392825524506,51858.1875,500.0,1,0,3,905.0,UP,1763806877.252043,1763806877.848871
44.5,45.57960070031329,2077.5,113.0,1,1,3,178.0,UP,1763806877.648902,1763806878.248912
93.75,93.79332332314492,8797.1875,200.0,1,1,2,375.0,UP,1763806878.048911,1763806878.657856
32.5,36.058979464205585,1300.25,93.0,1,1,3,130.0,REST,1763806878.456088,1763806879.048936
33.75,40.15205474194316,1612.1875,111.0,1,0,3,135.0,REST,1763806878.848913,1763806879.448951
95.25,96.58254241838947,9328.1875,233.0,1,1,3,381.0,REST,1763806879.248936,1763806879.848956
42.5,42.88064831599448,1838.75,96.0,1,0,3,170.0,REST,1763806879.648928,1763806880.248942
12.875,15.481844205391036,239.6875,70.0,2,1,3,51.5,REST,1763806880.054645,1763806880.649357
21.5,23.885141824992374,570.5,60.0,1,0,3,86.0,REST,1763806880.448978,1763806881.048965
5.0,6.18465843842649,38.25,26.0,1,1,3,20.0,REST,1763806880.86118,1763806881.456107
20.875,26.78035660703569,717.1875,125.0,2,1,3,83.5,REST,1763806881.248982,1763806881.849006
30.75,32.85859857023729,1079.6875,165.0,3,2,3,123.0,REST,1763806881.659439,1763806882.249022
21.375,25.955490748587284,673.6875,88.0,1,1,3,85.5,REST,1763806882.048985,1763806882.649018
19.5,24.520399670478458,601.25,67.0,1,0,3,78.0,REST,1763806882.449052,1763806883.049017
16.5,17.421251390184345,303.5,81.0,2,1,3,66.0,REST,1763806882.849007,1763806883.449021
11.75,14.254385290148432,203.1875,67.0,2,1,3,47.0,REST,1763806883.249064,1763806883.84905
9.5,9.82344135219425,96.5,62.0,3,2,3,38.0,REST,1763806883.649051,1763806884.249047
7.5,9.246621004453464,85.5,31.0,1,2,3,30.0,REST,1763806884.049552,1763806884.649068
4.25,4.264680527307995,18.1875,25.0,3,2,3,17.0,REST,1763806884.449067,1763806885.049077
8.75,9.522998477370455,90.6875,25.0,1,0,3,35.0,REST,1763806884.849061,1763806885.449061
3.5,4.949747468305833,24.5,21.0,0,1,3,14.0,REST,1763806885.249079,1763806885.850376
254.75,254.76202130615937,64903.6875,513.0,1,0,1,1019.0,REST,1763806885.649087,1763806886.249121
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763806886.049108,1763806886.649122
196.875,227.33166849341515,51679.6875,525.0,1,0,1,787.5,REST,1763806886.449131,1763806887.049127
244.25,292.4538425119424,85529.25,716.0,1,0,2,977.0,REST,1763806886.849136,1763806887.456978
13.0,15.411035007422441,237.5,38.0,1,0,3,52.0,REST,1763806887.249127,1763806887.849148
26.25,30.367540236245674,922.1875,83.0,1,0,3,105.0,REST,1763806887.651104,1763806888.249159
14.875,17.977416388346796,323.1875,47.0,1,0,3,59.5,REST,1763806888.049153,1763806888.66256
11.875,14.703315952532613,216.1875,39.0,1,0,3,47.5,REST,1763806888.449214,1763806889.049171
36.5,42.0565096031518,1768.75,136.0,1,1,3,146.0,REST,1763806888.851478,1763806889.449184
22.75,23.972640655547316,574.6875,112.0,2,1,3,91.0,REST,1763806889.249182,1763806889.849188
19.25,23.31710745354149,543.6875,59.0,1,0,3,77.0,REST,1763806889.649171,1763806890.249206
22.0,22.045407685048602,486.0,46.0,1,0,2,88.0,REST,1763806890.049196,1763806890.651408
2.25,2.8722813232690143,8.25,13.0,2,1,2,9.0,REST,1763806890.449184,1763806891.049557
23.25,24.57005290999594,603.6875,61.0,1,0,3,93.0,REST,1763806890.849219,1763806891.450176
7.5,8.455767262643882,71.5,31.0,2,1,3,30.0,REST,1763806891.249225,1763806891.849241
11.0,11.715374513859981,137.25,30.0,1,0,3,44.0,REST,1763806891.64924,1763806892.249249
4.0,4.716990566028302,22.25,20.0,1,2,3,16.0,REST,1763806892.049269,1763806892.649226
18.0,20.796634343085422,432.5,50.0,1,0,2,72.0,REST,1763806892.449255,1763806893.049533
67.0,69.03079023160608,4765.25,205.0,1,1,2,268.0,REST,1763806892.849271,1763806893.449301
4.25,4.493050188902857,20.1875,12.0,1,1,3,17.0,REST,1763806893.249577,1763806893.84928
31.0,32.57299494980466,1061.0,78.0,1,0,3,124.0,REST,1763806893.649664,1763806894.249287
22.75,24.833193511910626,616.6875,61.0,1,0,3,91.0,REST,1763806894.049277,1763806894.649924
10.5,10.700467279516348,114.5,30.0,1,1,3,42.0,REST,1763806894.449281,1763806895.049454
6.0,7.365459931328117,54.25,20.0,1,0,3,24.0,REST,1763806894.8493,1763807047.26338
16.75,19.72941965694886,389.25,95.0,2,1,3,67.0,REST,1763806895.249327,1763807047.263947
17.625,21.579793789561567,465.6875,78.0,1,1,3,70.5,REST,1763807047.263797,1763807047.278207
17.0,19.261360284258224,371.0,72.0,1,1,3,68.0,REST,1763807047.275354,1763807047.2786
12.25,13.083864108129525,171.1875,54.0,2,1,3,49.0,REST,1763807047.27846,1763807047.278784
15.0,19.06567596493762,363.5,72.0,1,1,3,60.0,REST,1763807047.278697,1763807047.27897
22.0,23.070543990118654,532.25,75.0,1,1,3,88.0,REST,1763807047.27887,1763807047.653027
20.5,24.464259645450134,598.5,67.0,1,1,3,82.0,REST,1763807047.454201,1763807048.052933
22.0,22.566568192793515,509.25,97.0,2,1,3,88.0,REST,1763807047.852943,1763807048.452996
20.0,25.288337232803585,639.5,70.0,1,0,3,80.0,REST,1763807048.255825,1763807048.852973
14.25,14.618053906043718,213.6875,89.0,3,2,3,57.0,REST,1763807048.652952,1763807049.25296
21.0,24.515301344262525,601.0,150.0,3,2,3,84.0,REST,1763807049.052976,1763807049.65296
17.25,20.180436070610565,407.25,97.0,2,1,3,69.0,REST,1763807049.453471,1763807050.052997
8.0,9.617692030835672,92.5,37.0,1,2,3,32.0,REST,1763807049.852994,1763807050.453008
12.75,12.774486291041217,163.1875,53.0,2,1,3,51.0,REST,1763807050.252994,1763807050.853018
9.625,11.344051304538427,128.6875,61.0,2,2,3,38.5,REST,1763807050.652982,1763807051.253021
6.25,6.832825184358224,46.6875,23.0,1,1,3,25.0,REST,1763807051.053016,1763807051.653024
13.375,16.23845743905498,263.6875,75.0,2,2,3,53.5,REST,1763807051.452998,1763807052.053017
12.625,15.022899187573616,225.6875,41.0,1,1,3,50.5,REST,1763807051.853037,1763807052.453965
14.125,18.005207580030838,324.1875,73.0,1,2,3,56.5,REST,1763807052.25308,1763807052.853063
15.625,18.7533330370897,351.6875,64.0,1,2,3,62.5,REST,1763807052.653055,1763807053.25308
14.0,16.32482771731451,266.5,47.0,1,1,3,56.0,REST,1763807053.053066,1763807053.653092
19.5,24.869660230891775,618.5,110.0,2,1,3,78.0,REST,1763807053.453078,1763807054.053072
9.25,9.522998477370455,90.6875,55.0,3,2,3,37.0,REST,1763807053.853151,1763807054.453112
4.0,5.0,25.0,24.0,3,2,3,16.0,REST,1763807054.253457,1763807054.853091
7.5,9.433981132056603,89.0,44.0,2,1,3,30.0,REST,1763807054.653076,1763807055.2531
11.25,13.238202294873727,175.25,33.0,1,0,3,45.0,REST,1763807055.053128,1763807055.653097
7.75,8.166241485530538,66.6875,27.0,1,1,3,31.0,REST,1763807055.453739,1763807056.053115
14.125,16.708904811506947,279.1875,59.0,1,2,3,56.5,REST,1763807055.853622,1763807056.453143
16.625,19.967160539245434,398.6875,68.0,1,1,3,66.5,REST,1763807056.253124,1763807056.853152
36.5,37.26258176777342,1388.5,103.0,1,1,3,146.0,REST,1763807056.653142,1763807057.253149
19.125,23.370654676324325,546.1875,63.0,1,0,3,76.5,REST,1763807057.05316,1763807057.653197
13.875,16.946607330082326,287.1875,69.0,1,2,3,55.5,REST,1763807057.453171,1763807058.053172
10.0,11.715374513859981,137.25,70.0,3,2,3,40.0,REST,1763807057.853168,1763807058.453192
10.75,13.047988350699889,170.25,41.0,1,2,3,43.0,REST,1763807058.25317,1763807058.853197
7.75,8.525696452489967,72.6875,52.0,3,2,3,31.0,REST,1763807058.65328,1763807059.253211
11.25,15.239750654128171,232.25,45.0,1,2,3,45.0,REST,1763807059.053198,1763807059.653265
9.25,10.54454835448157,111.1875,40.0,2,1,3,37.0,REST,1763807059.453218,1763807060.053234
7.25,7.327175444876422,53.6875,32.0,2,1,3,29.0,REST,1763807059.853234,1763807060.453236
16.0,19.209372712298546,369.0,66.0,2,1,3,64.0,REST,1763807060.253233,1763807060.85324
25.25,26.44215384570629,699.1875,119.0,2,1,3,101.0,REST,1763807060.653261,1763807061.253664
16.25,19.22725929507375,369.6875,99.0,3,2,3,65.0,REST,1763807061.053258,1763807061.65325
26.25,33.16153645415122,1099.6875,159.0,3,2,3,105.0,REST,1763807061.453567,1763807062.053262
33.25,37.995887935406905,1443.6875,225.0,3,2,3,133.0,REST,1763807061.853252,1763807062.453265
18.25,18.417043736713012,339.1875,106.0,3,2,3,73.0,REST,1763807062.253274,1763807062.85328
13.75,16.5,272.25,44.0,1,0,2,55.0,REST,1763807062.653279,1763807063.253282
7.0,8.73212459828649,76.25,41.0,2,1,3,28.0,REST,1763807063.053279,1763807063.653301
9.0,10.307764064044152,106.25,45.0,2,1,3,36.0,REST,1763807063.453316,1763807064.053308
18.0,21.920310216782973,480.5,69.0,1,2,3,72.0,REST,1763807063.85363,1763807064.453317
11.875,15.974589196595948,255.1875,66.0,1,1,3,47.5,REST,1763807064.253312,1763807064.853348
15.25,16.406934509529805,269.1875,40.0,1,0,3,61.0,REST,1763807064.653351,1763807065.253362
72.625,84.66810202195394,7168.6875,243.0,1,1,3,290.5,REST,1763807065.054698,1763807065.65337
76.375,88.64923857541022,7858.6875,422.0,2,1,3,305.5,REST,1763807065.453358,1763807066.053364
12.875,17.383541066192468,302.1875,53.0,1,2,3,51.5,REST,1763807065.853351,1763807066.453435
10.0,11.76860229593982,138.5,35.0,1,1,3,40.0,REST,1763807066.253352,1763807066.853405
2.625,3.112474899497183,9.6875,8.0,1,0,3,10.5,REST,1763807066.653393,1763807067.253403
9.875,11.409973707244026,130.1875,27.0,1,0,2,39.5,REST,1763807067.053421,1763807067.653403
11.125,13.083864108129525,171.1875,33.0,1,0,3,44.5,REST,1763807067.453409,1763807068.055146
4.5,4.636809247747852,21.5,12.0,1,1,3,18.0,REST,1763807067.853395,1763807068.453436
5.75,6.7592529172978875,45.6875,18.0,1,1,3,23.0,REST,1763807068.253891,1763807068.853443
5.5,6.689544080129826,44.75,18.0,1,0,3,22.0,REST,1763807068.653437,1763807069.253448
9.75,12.359207094308275,152.75,62.0,2,2,3,39.0,REST,1763807069.054623,1763807069.653428
10.125,12.457427503300993,155.1875,59.0,2,2,3,40.5,REST,1763807069.453986,1763807070.053684
11.5,11.76860229593982,138.5,28.0,1,1,3,46.0,REST,1763807069.853433,1763807070.453483
2.375,2.7726341266023544,7.6875,8.0,1,1,2,9.5,REST,1763807070.253478,1763807070.853462
2.25,2.277608394786075,5.1875,6.0,1,1,2,9.0,REST,1763807070.65346,1763807071.253495
13.875,16.315253599009733,266.1875,51.0,1,2,3,55.5,REST,1763807071.053993,1763807071.653543
16.5,17.10263137648707,292.5,75.0,2,1,3,66.0,REST,1763807071.453514,1763807072.053516
10.25,12.519984025548915,156.75,34.0,1,0,2,41.0,REST,1763807071.853829,1763807072.453534
3.75,4.14578098794425,17.1875,15.0,2,0,2,15.0,REST,1763807072.253523,1763807072.853573
249.75,249.75625617789836,62378.1875,507.0,1,0,1,999.0,UP,1763807072.653533,1763807073.253872
0.0,0.0,0.0,0.0,0,0,0,0.0,UP,1763807073.053587,1763807073.653563
484.0,485.5599859955513,235768.5,1023.0,1,0,2,1936.0,UP,1763807073.453939,1763807074.053553
369.875,429.44928396726897,184426.6875,1133.0,1,0,2,1479.5,UP,1763807073.85355,1763807074.453572
342.0,417.6415927562771,174424.5,1368.0,2,0,2,1368.0,UP,1763807074.253605,1763807074.853557
324.5,346.76288728755276,120244.5,833.0,1,0,3,1298.0,UP,1763807074.653594,1763807075.253565
100.75,101.07763105653001,10216.6875,213.0,1,0,2,403.0,UP,1763807075.053587,1763807075.653602
511.5,511.5,261632.25,1023.0,1,0,1,2046.0,UP,1763807075.453569,1763807076.054071
293.25,320.67380232878395,102831.6875,770.0,1,0,2,1173.0,UP,1763807075.853906,1763807076.453613
218.25,253.90783268737496,64469.1875,620.0,1,0,2,873.0,UP,1763807076.253592,1763807076.853629
383.625,442.97199403574035,196224.1875,1023.0,1,0,1,1534.5,UP,1763807076.653641,1763807077.253651
342.125,417.65618336138635,174436.6875,1355.0,1,0,2,1368.5,UP,1763807077.053641,1763807077.654019
267.25,296.11769197398525,87685.6875,771.0,1,0,3,1069.0,UP,1763807077.453624,1763807078.054211
161.25,168.7799973338073,28486.6875,393.0,1,0,2,645.0,UP,1763807077.853631,1763807078.453655
511.5,511.5,261632.25,1023.0,1,0,1,2046.0,UP,1763807078.253691,1763807078.853657
